station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LTAF,1690849200,78.8,75.2,88.75,0.0,0.0,0.0,29.65,,6.21,,SCT,,,,3000.0,,,,,,,,,,,78.8,LTAF 010020Z 00000KT 9999 SCT030 26/24 Q1004 NOSIG RMK RWY23 00000KT 3CU030,
LTAF,1690851000,77.0,75.2,94.19,0.0,0.0,0.0,29.65,,6.21,,SCT,,,,3000.0,,,,,,,,,,,77.0,LTAF 010050Z 00000KT 9999 SCT030 25/24 Q1004 NOSIG RMK RWY23 25002KT 3CU030,
LTAF,1690852800,77.0,75.2,94.19,,1.0,0.0,29.62,,6.21,,SCT,,,,3000.0,,,,,,,,,,,77.0,LTAF 010120Z VRB01KT 9999 SCT030 25/24 Q1003 NOSIG RMK RWY23 24002KT 3CU030,
LTAF,1690854600,77.0,75.2,94.19,0.0,0.0,0.0,29.62,,6.21,,SCT,,,,3000.0,,,,,,,,,,,77.0,LTAF 010150Z 00000KT 9999 SCT030 25/24 Q1003 NOSIG RMK RWY23 22003KT 3CU030,
LTAF,1690856400,75.2,75.2,100.0,220.0,2.0,0.0,29.65,,6.21,,SCT,,,,3000.0,,,,,,,,,,,75.2,LTAF 010220Z 22002KT 9999 SCT030 24/24 Q1004 NOSIG RMK RWY23 24003KT 3CU030,
LTAF,1690857420,75.2,75.2,100.0,220.0,2.0,0.0,29.65,,2.49,,SCT,,,,2000.0,,,,BR,,,,,,,75.2,LTAF 010237Z 22002KT 4000 BR SCT020 24/24 Q1004 BECMG TL0330 9999 NSW RMK RWY23 24004KT 4CU020,
LTAF,1690858200,75.2,75.2,100.0,220.0,2.0,0.0,29.65,,2.11,,SCT,,,,2000.0,,,,BR,,,,,,,75.2,LTAF 010250Z 22002KT 3400 BR SCT020 24/24 Q1004 BECMG TL0350 9999 NSW RMK RWY23 25003KT 4CU020,
LTAF,1690860000,75.2,75.2,100.0,0.0,0.0,0.0,29.65,,1.99,,SCT,,,,2000.0,,,,BR,,,,,,,75.2,LTAF 010320Z 00000KT 3200 BR SCT020 24/24 Q1004 BECMG TL0420 9999 NSW RMK RWY23 23002KT 4CU020,
LTAF,1690861800,78.8,77.0,94.23,0.0,0.0,0.0,29.65,,4.97,,SCT,,,,3000.0,,,,,,,,,,,78.8,LTAF 010350Z 00000KT 8000 SCT030 26/25 Q1004 NOSIG RMK RWY23 25002KT 3CU030,
LTAF,1690863600,80.6,77.0,88.83,,1.0,0.0,29.65,,6.21,,SCT,,,,3000.0,,,,,,,,,,,87.59,LTAF 010420Z VRB01KT 9999 SCT030 27/25 Q1004 NOSIG RMK RWY23 VRB02KT 3CU030,
